"		156",堡林,2019-11-06,72.6,33
"		156",堡林,2019-11-07,72.5,47
"		156",堡林,2019-11-08,49.4,19
"		156",堡林,2019-11-09,51.1,19
"		156",堡林,2019-11-10,76.9,47
"		156",堡林,2019-11-11,79.8,48
"		156",堡林,2019-11-12,67.4,32
"		156",堡林,2019-11-13,80.6,60
"		156",堡林,2019-11-14,52.3,27
"		156",堡林,2019-11-15,66.8,48
"		156",堡林,2019-11-16,79.5,50
"		156",堡林,2019-11-17,86.3,69
"		156",堡林,2019-11-18,71,48
"		156",堡林,2019-11-19,62.5,46
"		156",堡林,2019-11-20,53.8,24
"		156",堡林,2019-11-21,42.5,14
"		156",堡林,2019-11-22,58.3,44
"		156",堡林,2019-11-23,68.6,44
"		156",堡林,2019-11-24,76.4,56
"		156",堡林,2019-11-25,59.8,49
"		156",堡林,2019-11-26,69.9,50
"		156",堡林,2019-11-27,63,42
"		156",堡林,2019-11-28,60.4,38
"		156",堡林,2019-11-29,46.9,8
"		156",堡林,2019-11-30,51,32
"		156",堡林,2019-12-01,86.3,53
"		156",堡林,2019-12-02,67.3,49
"		156",堡林,2019-12-03,69.8,49
"		156",堡林,2019-12-04,65.9,34
"		156",堡林,2019-12-05,56.6,25
"		156",堡林,2019-12-06,37.3,14
"		156",堡林,2019-12-07,47.8,36
"		156",堡林,2019-12-08,63.6,39
"		156",堡林,2019-12-09,72.9,46
"		156",堡林,2019-12-10,77.8,50
"		156",堡林,2019-12-11,74.9,51
"		156",堡林,2019-12-12,49.1,26
"		156",堡林,2019-12-13,45,6
"		156",堡林,2019-12-14,52.6,23
"		156",堡林,2019-12-15,55.5,42
"		156",堡林,2019-12-16,65.3,46
"		156",堡林,2019-12-17,88,75
"		156",堡林,2019-12-18,66.4,50
"		156",堡林,2019-12-19,50.8,22
"		156",堡林,2019-12-20,67,50
"		156",堡林,2019-12-21,63.1,44
"		156",堡林,2019-12-22,60.6,39
"		156",堡林,2019-12-23,70.1,47
"		156",堡林,2019-12-24,52.8,18
"		156",堡林,2019-12-25,45.1,10
"		156",堡林,2019-12-26,61.8,34
"		156",堡林,2019-12-27,53.1,38
"		156",堡林,2019-12-28,48.6,30
"		156",堡林,2019-12-29,78.8,46
"		156",堡林,2019-12-30,82.9,55
"		156",堡林,2019-12-31,46.1,30
"		156",堡林,2020-01-01,58,46
"		156",堡林,2020-01-02,69,42
"		156",堡林,2020-01-03,71.5,46
"		156",堡林,2020-01-04,73.1,46
"		156",堡林,2020-01-05,54.1,16
"		156",堡林,2020-01-06,82.4,42
"		156",堡林,2020-01-07,97.6,93
"		156",堡林,2020-01-08,83.9,67
"		156",堡林,2020-01-09,66.1,51
"		156",堡林,2020-01-10,61.5,31
"		156",堡林,2020-01-11,59.6,44
"		156",堡林,2020-01-12,62.1,50
"		156",堡林,2020-01-13,59,43
"		156",堡林,2020-01-14,54.1,37
"		156",堡林,2020-01-15,61.8,42
"		156",堡林,2020-01-16,44.6,23
"		156",堡林,2020-01-17,39.1,13
"		156",堡林,2020-01-18,56.5,22
"		156",堡林,2020-01-19,75.6,59
"		156",堡林,2020-01-20,63.1,39
"		156",堡林,2020-01-21,38.8,13
