시도,시군구,법정동,년도,월,전체호수,전력사용량
강원도,강릉시,월호평동,2019,11,40 ,11634 
강원도,강릉시,월호평동,2019,12,40 ,12462 
강원도,강릉시,유산동,2019,1,19 ,6727 
강원도,강릉시,유산동,2019,2,20 ,7198 
강원도,강릉시,유산동,2019,3,20 ,5419 
강원도,강릉시,유산동,2019,4,20 ,5682 
강원도,강릉시,유산동,2019,5,20 ,5077 
강원도,강릉시,유산동,2019,6,22 ,5356 
강원도,강릉시,유산동,2019,7,23 ,5796 
강원도,강릉시,유산동,2019,8,23 ,9647 
강원도,강릉시,유산동,2019,9,23 ,6706 
강원도,강릉시,유산동,2019,10,23 ,6406 
강원도,강릉시,유산동,2019,11,23 ,7189 
강원도,강릉시,유산동,2019,12,23 ,7849 
강원도,강릉시,유천동,2019,1,21 ,7379 
강원도,강릉시,유천동,2019,2,21 ,7208 
강원도,강릉시,유천동,2019,3,21 ,5318 
강원도,강릉시,유천동,2019,4,21 ,5662 
강원도,강릉시,유천동,2019,5,21 ,4761 
강원도,강릉시,유천동,2019,6,22 ,4546 
강원도,강릉시,유천동,2019,7,26 ,6756 
강원도,강릉시,유천동,2019,8,26 ,9301 
강원도,강릉시,유천동,2019,9,27 ,7412 
강원도,강릉시,유천동,2019,10,27 ,7490 
강원도,강릉시,유천동,2019,11,27 ,8091 
강원도,강릉시,유천동,2019,12,27 ,8656 
강원도,강릉시,임당동,2019,1,25 ,21305 
강원도,강릉시,임당동,2019,2,26 ,23141 
강원도,강릉시,임당동,2019,3,26 ,19113 
강원도,강릉시,임당동,2019,4,26 ,18167 
강원도,강릉시,임당동,2019,5,26 ,16433 
강원도,강릉시,임당동,2019,6,26 ,16288 
강원도,강릉시,임당동,2019,7,26 ,16494 
강원도,강릉시,임당동,2019,8,28 ,22526 
강원도,강릉시,임당동,2019,9,28 ,24381 
강원도,강릉시,임당동,2019,10,28 ,19210 
강원도,강릉시,임당동,2019,11,28 ,18297 
강원도,강릉시,임당동,2019,12,28 ,19481 
강원도,강릉시,입암동,2019,1,43 ,30431 
강원도,강릉시,입암동,2019,2,45 ,30047 
강원도,강릉시,입암동,2019,3,45 ,24441 
강원도,강릉시,입암동,2019,4,45 ,23691 
강원도,강릉시,입암동,2019,5,46 ,20832 
강원도,강릉시,입암동,2019,6,47 ,20991 
강원도,강릉시,입암동,2019,7,47 ,21516 
강원도,강릉시,입암동,2019,8,47 ,32717 
강원도,강릉시,입암동,2019,9,49 ,27227 
강원도,강릉시,입암동,2019,10,49 ,24018 
강원도,강릉시,입암동,2019,11,49 ,26751 
강원도,강릉시,입암동,2019,12,49 ,30054 
강원도,강릉시,장현동,2019,1,5 ,1737 
강원도,강릉시,장현동,2019,2,7 ,2003 
강원도,강릉시,장현동,2019,3,7 ,1559 
강원도,강릉시,장현동,2019,4,7 ,1450 
강원도,강릉시,장현동,2019,5,8 ,1581 
강원도,강릉시,장현동,2019,6,8 ,1403 
강원도,강릉시,장현동,2019,7,8 ,1471 
강원도,강릉시,장현동,2019,8,9 ,2061 
강원도,강릉시,장현동,2019,9,9 ,2232 
강원도,강릉시,장현동,2019,10,9 ,1933 
강원도,강릉시,장현동,2019,11,9 ,2148 
강원도,강릉시,장현동,2019,12,9 ,2170 
강원도,강릉시,저동,2019,1,50 ,25696 
강원도,강릉시,저동,2019,2,50 ,27114 
강원도,강릉시,저동,2019,3,50 ,27575 
강원도,강릉시,저동,2019,4,50 ,19571 
강원도,강릉시,저동,2019,5,50 ,19677 
강원도,강릉시,저동,2019,6,51 ,16756 
강원도,강릉시,저동,2019,7,52 ,17525 
강원도,강릉시,저동,2019,8,52 ,26830 
강원도,강릉시,저동,2019,9,53 ,26992 
강원도,강릉시,저동,2019,10,53 ,20399 
강원도,강릉시,저동,2019,11,53 ,22039 
강원도,강릉시,저동,2019,12,53 ,26016 
강원도,강릉시,주문진읍,2019,1,279 ,177178 
강원도,강릉시,주문진읍,2019,2,282 ,164390 
강원도,강릉시,주문진읍,2019,3,282 ,127523 
강원도,강릉시,주문진읍,2019,4,283 ,126870 
강원도,강릉시,주문진읍,2019,5,285 ,109271 
강원도,강릉시,주문진읍,2019,6,291 ,100882 
강원도,강릉시,주문진읍,2019,7,294 ,103635 
강원도,강릉시,주문진읍,2019,8,299 ,159498 
강원도,강릉시,주문진읍,2019,9,299 ,143901 
강원도,강릉시,주문진읍,2019,10,301 ,131753 
강원도,강릉시,주문진읍,2019,11,301 ,139627 
강원도,강릉시,주문진읍,2019,12,300 ,158808 
강원도,강릉시,죽헌동,2019,1,10 ,3278 
강원도,강릉시,죽헌동,2019,2,10 ,2885 
강원도,강릉시,죽헌동,2019,3,10 ,2279 
강원도,강릉시,죽헌동,2019,4,10 ,2624 
강원도,강릉시,죽헌동,2019,5,10 ,2009 
강원도,강릉시,죽헌동,2019,6,11 ,2373 
강원도,강릉시,죽헌동,2019,7,11 ,2567 
강원도,강릉시,죽헌동,2019,8,11 ,4152 
강원도,강릉시,죽헌동,2019,9,11 ,2849 
강원도,강릉시,죽헌동,2019,10,11 ,2552 
강원도,강릉시,죽헌동,2019,11,11 ,2851 
강원도,강릉시,죽헌동,2019,12,11 ,3157 
강원도,강릉시,지변동,2019,1,33 ,11878 
강원도,강릉시,지변동,2019,2,33 ,11314 
강원도,강릉시,지변동,2019,3,33 ,8875 
강원도,강릉시,지변동,2019,4,33 ,9445 
강원도,강릉시,지변동,2019,5,33 ,8444 
강원도,강릉시,지변동,2019,6,33 ,8697 
강원도,강릉시,지변동,2019,7,34 ,10172 
강원도,강릉시,지변동,2019,8,34 ,14216 
강원도,강릉시,지변동,2019,9,34 ,11189 
강원도,강릉시,지변동,2019,10,34 ,10828 
강원도,강릉시,지변동,2019,11,34 ,11700 
강원도,강릉시,지변동,2019,12,34 ,11926 
강원도,강릉시,청량동,2019,1,7 ,3266 
강원도,강릉시,청량동,2019,2,7 ,3099 
강원도,강릉시,청량동,2019,3,7 ,2419 
강원도,강릉시,청량동,2019,4,7 ,2418 
강원도,강릉시,청량동,2019,5,7 ,1947 
강원도,강릉시,청량동,2019,6,7 ,1654 
