날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2019-06-12,56176,54380,53398,52992,53174,53795,55939,59293,63616,65025,65331,65284,62679,65727,67241,67570,68360,67417,65925,65778,65098,62798,60329,59469
2019-06-13,56089,54269,53289,52811,52837,53715,56068,59258,63674,65354,65931,66101,63756,67269,68820,69302,69058,68100,66416,66189,65926,63684,61086,60184
2019-06-14,56657,54702,53678,53105,53090,53896,56516,60768,65918,67712,67680,67800,65657,68734,69896,69851,70094,68313,66262,65643,64978,62778,60480,59627
2019-06-15,56384,54400,53171,52414,52088,52205,53021,53783,55188,55921,56934,57296,55879,57087,57400,57379,57620,57509,57652,58051,58299,57067,55517,55272
2019-06-16,52732,51197,50124,48791,48174,48121,48609,48484,48520,49298,50798,51535,51742,52579,53056,53475,54305,55389,56220,57049,57589,56600,55038,53245
2019-06-17,50419,48733,47907,47571,47909,49170,52260,56931,62836,65343,65611,65513,63125,66391,68006,68177,69144,68704,67379,66714,65738,63563,61225,60269
2019-06-18,56642,54850,53846,53259,53341,54084,56482,60552,65875,67941,68060,67718,65313,68541,69970,69948,70283,69381,68253,67649,66551,64225,61715,60764
2019-06-19,57262,55394,54357,53693,53708,54485,57172,61298,66556,68409,68564,68431,65869,68812,70200,70415,71045,69962,68186,67662,66751,64595,62200,60991
2019-06-20,57391,55520,54396,53690,53776,54582,57141,60858,65916,68260,68923,68945,66336,69509,71258,71697,72419,71394,69856,69146,67965,65339,62533,61245
2019-06-21,57675,55763,54760,54122,54160,54887,57093,60767,65935,68161,68646,68594,66319,69362,70667,70809,71392,70193,68315,67392,66475,64189,61633,60663
2019-06-22,56928,55118,53675,52893,52494,52530,53423,54348,56082,57157,58218,58429,57123,58333,59057,59082,59328,58864,58929,59265,59611,58095,56388,55738
